epoch,m,b
0,0.0255,0.0085
1,0.050575,0.0168555
2,0.0752321,0.0250689
3,0.0994783,0.0331426
4,0.12332,0.0410789
5,0.146765,0.0488802
6,0.169819,0.0565486
7,0.192489,0.0640864
8,0.214782,0.0714958
9,0.236702,0.0787789
10,0.258258,0.0859378
11,0.279454,0.0929746
12,0.300298,0.0998914
13,0.320794,0.10669
14,0.340948,0.113373
15,0.360767,0.119941
16,0.380256,0.126398
17,0.39942,0.132744
18,0.418265,0.138981
19,0.436796,0.145112
20,0.455019,0.151137
21,0.472938,0.15706
22,0.490558,0.162881
23,0.507886,0.168603
24,0.524924,0.174226
25,0.541679,0.179753
26,0.558155,0.185185
27,0.574357,0.190524
28,0.590289,0.195771
29,0.605956,0.200928
30,0.621362,0.205996
31,0.636512,0.210978
32,0.651409,0.215873
33,0.666059,0.220684
34,0.680464,0.225413
35,0.69463,0.23006
36,0.70856,0.234626
37,0.722259,0.239114
38,0.735729,0.243525
39,0.748976,0.247859
40,0.762002,0.252118
41,0.774811,0.256304
42,0.787408,0.260418
43,0.799794,0.26446
44,0.811975,0.268432
45,0.823953,0.272335
46,0.835732,0.276171
47,0.847316,0.27994
48,0.858706,0.283643
49,0.869907,0.287282
50,0.880922,0.290858
51,0.891754,0.294372
52,0.902406,0.297824
53,0.912881,0.301217
54,0.923182,0.30455
55,0.933311,0.307825
56,0.943272,0.311043
57,0.953068,0.314204
58,0.962701,0.31731
59,0.972174,0.320362
60,0.981489,0.323361
61,0.99065,0.326307
62,0.999659,0.329201
63,1.00852,0.332044
64,1.01723,0.334837
65,1.0258,0.337581
66,1.03422,0.340277
67,1.04251,0.342926
68,1.05066,0.345527
69,1.05867,0.348083
70,1.06655,0.350593
71,1.0743,0.35306
72,1.08192,0.355482
73,1.08941,0.357861
74,1.09678,0.360199
75,1.10403,0.362494
76,1.11115,0.364749
77,1.11816,0.366964
78,1.12506,0.369139
79,1.13183,0.371276
80,1.1385,0.373374
81,1.14506,0.375435
82,1.1515,0.377458
83,1.15784,0.379446
84,1.16408,0.381398
85,1.17021,0.383315
86,1.17624,0.385197
87,1.18217,0.387045
88,1.188,0.38886
89,1.19374,0.390643
90,1.19938,0.392393
91,1.20493,0.394111
92,1.21038,0.395798
93,1.21575,0.397455
94,1.22102,0.399081
95,1.22621,0.400678
96,1.23132,0.402245
97,1.23634,0.403784
98,1.24127,0.405295
99,1.24613,0.406778
100,1.2509,0.408234
101,1.2556,0.409663
102,1.26021,0.411066
103,1.26476,0.412442
104,1.26922,0.413794
105,1.27361,0.41512
106,1.27793,0.416422
107,1.28218,0.417699
108,1.28636,0.418953
109,1.29047,0.420183
110,1.29451,0.42139
111,1.29849,0.422575
112,1.3024,0.423738
