epoch,a,b
0,1.6865,3.0425
1,1.70816,3.05349
2,1.72861,3.06416
3,1.74799,3.07453
4,1.76641,3.08462
5,1.78398,3.09446
6,1.80079,3.10406
7,1.81689,3.11343
8,1.83235,3.12259
9,1.84722,3.13155
10,1.86156,3.14033
11,1.87539,3.14892
12,1.88877,3.15735
13,1.90171,3.16561
14,1.91426,3.17373
15,1.92643,3.18169
16,1.93825,3.18952
17,1.94974,3.19721
18,1.96092,3.20478
19,1.97181,3.21222
20,1.98242,3.21954
21,1.99277,3.22675
22,2.00287,3.23385
23,2.01274,3.24085
24,2.02239,3.24774
25,2.03182,3.25454
26,2.04104,3.26124
27,2.05007,3.26784
28,2.05892,3.27436
29,2.06759,3.2808
30,2.07609,3.28715
31,2.08443,3.29342
32,2.09261,3.29961
33,2.10064,3.30573
34,2.10853,3.31177
35,2.11628,3.31774
36,2.12389,3.32364
37,2.13138,3.32947
38,2.13874,3.33524
39,2.14598,3.34094
40,2.15311,3.34658
41,2.16012,3.35216
42,2.16703,3.35767
43,2.17383,3.36313
44,2.18053,3.36854
45,2.18713,3.37389
46,2.19364,3.37918
47,2.20005,3.38442
48,2.20638,3.38961
49,2.21262,3.39475
50,2.21877,3.39984
51,2.22485,3.40488
52,2.23084,3.40988
53,2.23675,3.41482
54,2.24259,3.41973
55,2.24836,3.42459
56,2.25406,3.4294
57,2.25968,3.43418
58,2.26524,3.43891
59,2.27073,3.4436
60,2.27616,3.44825
61,2.28153,3.45286
62,2.28683,3.45743
63,2.29208,3.46197
64,2.29726,3.46646
65,2.30239,3.47092
66,2.30747,3.47535
67,2.31249,3.47974
68,2.31745,3.4841
69,2.32237,3.48842
70,2.32723,3.49271
71,2.33205,3.49696
72,2.33681,3.50119
73,2.34153,3.50538
74,2.3462,3.50954
75,2.35083,3.51367
76,2.35541,3.51777
77,2.35994,3.52184
78,2.36444,3.52589
79,2.36889,3.5299
80,2.3733,3.53389
81,2.37767,3.53784
82,2.382,3.54177
83,2.38629,3.54568
84,2.39055,3.54955
85,2.39476,3.5534
86,2.39894,3.55723
87,2.40309,3.56103
88,2.4072,3.5648
89,2.41127,3.56855
90,2.41531,3.57228
91,2.41931,3.57598
92,2.42329,3.57966
93,2.42723,3.58332
94,2.43114,3.58695
95,2.43501,3.59056
96,2.43886,3.59415
97,2.44268,3.59771
98,2.44646,3.60126
99,2.45022,3.60478
100,2.45395,3.60828
101,2.45765,3.61176
102,2.46132,3.61522
103,2.46497,3.61866
104,2.46858,3.62208
105,2.47217,3.62548
106,2.47574,3.62887
107,2.47928,3.63223
108,2.48279,3.63557
109,2.48628,3.63889
110,2.48975,3.6422
111,2.49319,3.64549
112,2.4966,3.64876
113,2.49999,3.65201
114,2.50336,3.65524
115,2.50671,3.65846
116,2.51003,3.66166
117,2.51334,3.66484
118,2.51662,3.668
119,2.51987,3.67115
120,2.52311,3.67428
121,2.52633,3.6774
122,2.52952,3.6805
123,2.5327,3.68358
124,2.53585,3.68665
125,2.53899,3.6897
126,2.5421,3.69274
127,2.5452,3.69576
128,2.54827,3.69877
129,2.55133,3.70176
130,2.55437,3.70474
131,2.55739,3.7077
132,2.56039,3.71065
133,2.56338,3.71358
134,2.56634,3.7165
135,2.56929,3.71941
136,2.57222,3.7223
137,2.57514,3.72518
138,2.57804,3.72805
139,2.58092,3.7309
140,2.58378,3.73374
141,2.58663,3.73656
142,2.58946,3.73938
143,2.59228,3.74218
144,2.59508,3.74496
145,2.59787,3.74774
146,2.60064,3.7505
147,2.60339,3.75325
148,2.60613,3.75599
149,2.60886,3.75871
150,2.61157,3.76143
151,2.61427,3.76413
152,2.61695,3.76682
153,2.61961,3.76949
154,2.62227,3.77216
155,2.62491,3.77482
156,2.62753,3.77746
157,2.63015,3.78009
158,2.63275,3.78271
159,2.63533,3.78532
160,2.63791,3.78792
161,2.64047,3.79051
162,2.64301,3.79309
163,2.64555,3.79566
164,2.64807,3.79822
165,2.65058,3.80076
166,2.65308,3.8033
167,2.65556,3.80582
168,2.65803,3.80834
169,2.66049,3.81085
170,2.66294,3.81334
171,2.66538,3.81583
172,2.66781,3.8183
173,2.67022,3.82077
174,2.67262,3.82323
175,2.67502,3.82567
176,2.6774,3.82811
177,2.67977,3.83054
178,2.68213,3.83296
179,2.68447,3.83537
180,2.68681,3.83777
181,2.68914,3.84016
182,2.69145,3.84254
183,2.69376,3.84492
184,2.69606,3.84728
185,2.69834,3.84964
186,2.70062,3.85198
187,2.70288,3.85432
188,2.70514,3.85665
189,2.70738,3.85897
190,2.70962,3.86129
191,2.71184,3.86359
192,2.71406,3.86589
193,2.71627,3.86817
194,2.71847,3.87045
195,2.72065,3.87273
196,2.72283,3.87499
197,2.725,3.87725
198,2.72716,3.87949
199,2.72932,3.88173
200,2.73146,3.88396
201,2.73359,3.88619
202,2.73572,3.8884
203,2.73784,3.89061
204,2.73994,3.89281
205,2.74204,3.89501
206,2.74413,3.89719
207,2.74622,3.89937
